text,label
"Beautiful Persian kitten available for free. Pay shipping fee by Western Union before delivery.",1
"Ragdoll kittens free to good home. I cannot meet in person but can arrange nationwide delivery after payment.",1
"Scottish Fold kittens available today only. Send gift card deposit to reserve your kitten.",1
"Free Maine Coon kitten because of military deployment. Wire transfer transport fee first.",1
"Purebred Siamese kittens. No meetups available. Pay insurance fee before shipping.",1
"Bengal kittens free. Must pay delivery fee using Zelle to confirm adoption.",1
"Healthy kitten available. Send money order for transport and customs release.",1
"Persian kittens for adoption. Pay by Bitcoin for courier delivery.",1
"Exotic shorthair kitten. Owner overseas. Cash App shipping fee required.",1
"Beautiful kitten needs urgent home. No vet papers but can ship after deposit.",1
"Friendly adult tabby available from a registered shelter. Vaccinated spayed and microchipped.",0
"Two bonded cats looking for a forever home. Local pickup only and adoption form required.",0
"Non-profit rescue has kittens ready for adoption. Vet checked vaccinated and dewormed.",0
"Licensed rescue adoption process includes application interview and in-person meeting.",0
"Rescue tabby loves cuddles. Come visit us at the shelter during adoption hours.",0
"Domestic shorthair looking for family. Adoption application and reference check required.",0
"Accredited rescue organization provides health certificates and vet records.",0
"Tortoiseshell cat neutered and microchipped. Visit our shelter for adoption application.",0
"Registered rescue places cats with families after home visit and reference checks.",0
"Licensed shelter includes vaccination records vet history and microchip in adoption.",0
